"GEOID_JOIN","STATE_NAME","COUNTRY_NAME","hh_targeted","hh_adopted","avg_adoption_prob","capital_retained","remittance_prevented","tax_credit_cost","yield_income","adoption_rate","net_govt_benefit","roi_ratio"
"0603705","California","India",4,2,0.13,9463.2,11284.0,1419.48,1561.43,0.5,9864.52,6.67
"1201107","Florida","El Salvador",25,4,0.12,9384.0,25989.6,1407.6,1548.36,0.16,24582.0,6.67
"3602001","New York","India",7,3,0.11,9327.2,16926.0,1399.08,1538.99,0.429,15526.92,6.67
"3501001","New Mexico","Mexico",73,15,0.11,9322.4,66957.24,1398.36,1538.2,0.205,65558.88,6.67
"0602903","California","Mexico",88,7,0.12,9288.0,52250.6,1393.2,1532.52,0.08,50857.4,6.67
"3200405","Nevada","Mexico",63,7,0.12,9272.8,42249.2,1390.92,1530.01,0.111,40858.28,6.67
"4802315","Texas","Mexico",49,6,0.11,9221.2,30336.0,1383.18,1521.5,0.122,28952.82,6.67
"0603743","California","Mexico",92,12,0.11,9088.8,64938.0,1363.32,1499.65,0.13,63574.68,6.67
"0600121","California","India",9,3,0.11,9000.0,32032.0,1350.0,1485.0,0.333,30682.0,6.67
"0607115","California","Mexico",17,4,0.11,8991.2,27144.4,1348.68,1483.55,0.235,25795.72,6.67
"4804605","Texas","Mexico",41,5,0.11,8977.6,22783.6,1346.64,1481.3,0.122,21436.96,6.67
"0603735","California","Mexico",79,7,0.11,8920.0,55047.2,1338.0,1471.8,0.089,53709.2,6.67
"3400501","New Jersey","Mexico",65,7,0.11,8768.0,60087.4,1315.2,1446.72,0.108,58772.200000000004,6.67
"3200409","Nevada","Mexico",45,5,0.12,8744.0,25438.0,1311.6,1442.76,0.111,24126.4,6.67
"2500607","Massachusetts","India",1,1,0.12,8740.8,5642.0,1311.12,1442.23,1.0,4330.88,6.67
"1209907","Florida","El Salvador",8,3,0.12,8732.0,13195.0,1309.8,1440.78,0.375,11885.2,6.67
"4803306","Texas","Mexico",79,9,0.11,8684.0,39421.0,1302.6,1432.86,0.114,38118.4,6.67
